Date,1 Yr,2 Yr,3 Yr
6/20/2016,0.994431185,0.985362674,0.97434764
6/21/2016,0.994332306,0.984971541,0.973768303
6/22/2016,0.994431185,0.985167078,0.974057914
6/23/2016,0.994233446,0.98458064,0.972900159
6/24/2016,0.99522293,0.98732184,0.97754222
6/27/2016,0.995520159,0.987910729,0.979290606
6/28/2016,0.995520159,0.987910729,0.978998919
6/29/2016,0.995421063,0.987714374,0.978124552
6/30/2016,0.995520159,0.988500145,0.978998919
7/1/2016,0.995520159,0.988303615,0.978998919
7/5/2016,0.995619275,0.988893382,0.980458513
7/6/2016,0.995421063,0.988500145,0.979582409
7/7/2016,0.995321987,0.988500145,0.979582409
7/8/2016,0.99522293,0.987910729,0.978998919
7/11/2016,0.995024876,0.986929539,0.977251227
7/12/2016,0.9948269,0.986341527,0.976088409
7/13/2016,0.994925878,0.986537473,0.976378941
7/14/2016,0.994727942,0.986537473,0.975797993
7/15/2016,0.9948269,0.985949811,0.97434764
7/18/2016,0.9948269,0.986537473,0.974927436
7/19/2016,0.994431185,0.98614564,0.975217507
7/20/2016,0.994431185,0.985558328,0.974637481
7/21/2016,0.994629003,0.98614564,0.975797993
7/22/2016,0.994530085,0.985949811,0.975217507
7/25/2016,0.994530085,0.98575404,0.97434764
7/26/2016,0.994530085,0.985167078,0.97434764
7/27/2016,0.994727942,0.985558328,0.975507692
7/28/2016,0.994727942,0.98575404,0.975797993
7/29/2016,0.995024876,0.986733477,0.97754222
8/1/2016,0.995024876,0.986733477,0.976960349
8/2/2016,0.995024876,0.986733477,0.976669587
8/3/2016,0.994727942,0.986733477,0.976960349
8/4/2016,0.994925878,0.98732184,0.97754222
8/5/2016,0.994431185,0.98575404,0.974637481
8/8/2016,0.994332306,0.985362674,0.974637481
8/9/2016,0.994530085,0.985949811,0.975217507
8/10/2016,0.994530085,0.986341527,0.976378941
8/11/2016,0.994530085,0.984971541,0.974057914
8/12/2016,0.994431185,0.985949811,0.975797993
8/15/2016,0.994431185,0.98575404,0.974927436
8/16/2016,0.994332306,0.984971541,0.97434764
8/17/2016,0.994233446,0.985362674,0.974637481
8/18/2016,0.994233446,0.985949811,0.976088409
8/19/2016,0.994134606,0.984971541,0.974057914
8/22/2016,0.994233446,0.984971541,0.974637481
8/23/2016,0.994233446,0.985362674,0.974637481
8/24/2016,0.994134606,0.984971541,0.97434764
8/25/2016,0.994035785,0.98458064,0.973768303
8/26/2016,0.993838203,0.983409334,0.971744238
8/29/2016,0.993838203,0.983994726,0.972900159
8/30/2016,0.993936984,0.984189972,0.972900159
8/31/2016,0.993936984,0.984189972,0.972900159
9/1/2016,0.994035785,0.98458064,0.973189426
9/2/2016,0.994134606,0.984189972,0.972900159
9/6/2016,0.994431185,0.985362674,0.974637481
9/7/2016,0.994332306,0.985362674,0.974637481
9/8/2016,0.994332306,0.98458064,0.973189426
